Topic,Parent Account,Description,Source Tab,Sales Status
Hot Sauce - Hot Honey Type Sauce,DePalo Foods,"Products: Hot Honey Type Sauce | Comments: DePalo Foods would like us to develop a Hot Honey Type Sauce to be used in a calzone application. They are currently using granules from Detroit Dip Co. but believe that a sauce will deliver more flavor. They are ok with HFCS with honey flavor and red peppers added. They would prefer this product to be packed in drums vs pouches. The volume is unknown, they would likely purchase the MOQ.",Hot Sauce,
Tomato Pouch Standard Size - Marinara cups,Domino's,"Products: Marinara cups | Sales Status: Yellow | Comments: marinara cups - approx 625,000 is current volume. Cases are packed 2 oz cups / 120 per case",Tomato Pouch Standard Size,Yellow
Zero Prep - Alfredo,Domino's,Products: Alfredo | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - BBQ,Domino's,Products: BBQ | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Buffalo,Domino's,Products: Buffalo | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Butter Flavored Oil,Domino's,Products: Butter Flavored Oil | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Cinnamagic,Domino's,Products: Cinnamagic | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Garlic Oil Blend,Domino's,Products: Garlic Oil Blend | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Garlic Parm,Domino's,Products: Garlic Parm | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Sweet Mango Habanero,Domino's,Products: Sweet Mango Habanero | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Buffalo Ranch,Giovanni's,Products: Buffalo Ranch | Comments: Would be open to ZP,Zero Prep,
Zero Prep - CreAmy Flora Italian,Giovanni's,Products: CreAmy Flora Italian | Comments: Would be open to ZP,Zero Prep,
Zero Prep - Hot Buffalo,Giovanni's,Products: Hot Buffalo | Comments: Would be open to ZP,Zero Prep,
Zero Prep - Mild Buffalo,Giovanni's,Products: Mild Buffalo | Comments: Would be open to ZP,Zero Prep,
Zero Prep - Ranch,Giovanni's,Products: Ranch | Comments: Would be open to ZP,Zero Prep,
Bulk - Pizza,Godfather's,Products: Pizza | Sales Status: Green,Bulk,Green
Retail and Jars - Pizza,HEB,Products: Pizza,Retail and Jars,
Zero Prep - BBQ,HEB,Products: BBQ | Comments: Currently filling 24oz bottles with jugged product.,Zero Prep,
Tomato Pouch Standard Size - Pizza sauce,Hometown Pizza,Products: Pizza sauce | Comments: 18 units in KY | Website: Hometown Pizza – Kentucky's Favorite Hometown Pizza,Tomato Pouch Standard Size,
Small Pouch (<16 oz) - Very Interested,Jason's Deli,Products: Very Interested,Small Pouch (<16 oz),
Small Pouch (<16 oz) - BBQ Sauce,KFC,Products: BBQ Sauce,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Honey Mustard Dressing,KFC,Products: Honey Mustard Dressing,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Honey Pouch,KFC,Products: Honey Pouch,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Hot Sauce,KFC,Products: Hot Sauce,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Sticky Chicky,KFC,Products: Sticky Chicky,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Pizza Kit,Little Caesars,Products: Pizza Kit,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Pizza Kit,Little Caesars,Products: Pizza Kit,Small Pouch (<16 oz),
Zero Prep - BBQ,Little Caesars,Products: BBQ | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Buffalo,Little Caesars,Products: Buffalo | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - Garlic Parm,Little Caesars,Products: Garlic Parm | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - crazy bread spread,Little Caesars,Products: crazy bread spread | Comments: using squeeze bottle currently,Zero Prep,
Zero Prep - crazy sauce ((pizza sauce),Little Caesars,Products: crazy sauce ((pizza sauce) | Comments: using squeeze bottle currently,Zero Prep,
"Zero Prep - Hot Honey, Butter, Garlic Butter",Marco's,"Products: Hot Honey, Butter, Garlic Butter | Comments: Would be open to ZP",Zero Prep,
Hot Sauce,Marzetti,Comments: We showed the Aji Racha at the ADS but the pump was not working so we could not sample the product. Jamie Hannen and Rachel Basalla from Ken's asked if we could send them a sample.,Hot Sauce,
Hot Sauce - Pepper Mash,Marzetti,Products: Pepper Mash | Comments: Darden has asked Marzetti to work on matching their Spicy Ranch Dressing that uses our OLGN1003 18 – 16oz Mashed Pepper that we are currently selling to Darden. They have asked us for pricing in 4/10 lb. pouches and 480 lbs. drums.,Hot Sauce,
Hot Sauce - Sriracha,Marzetti,Products: Sriracha | Comments: Current Customer | Email: sslowter@marzetti.com,Hot Sauce,
Bulk - Pizza,Maverik,Products: Pizza | Sales Status: Green,Bulk,Green
Small Pouch (<16 oz) - Green Salsa,Maverik,Products: Green Salsa,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Red Salsa,Maverik,Products: Red Salsa,Small Pouch (<16 oz),
Hot Sauce - Buffalo Sauce,Maxi Canada,Products: Buffalo Sauce | Comments: Maxi Canada is having some separation issues with their PTKI1113. We met with them on 8/8/24 to discuss the issue. We agreed to conduct a shelf study to see if adding guar gum would help keep the product from separation through the life of the product. | Email: FrederiqueB@maxi.com | Phone: 450-439-2500 ext. 138,Hot Sauce,
Hot Sauce - Buffalo Sauce,Maxi Canada,Products: Buffalo Sauce | Comments: Maxi Canada would like to extend the shelf life on the PTKI1113 Buffalo Sauce from 5 months to 7 or 8 months.,Hot Sauce,
Hot Sauce - Sweet Asian Sauce,Maxi Canada,Products: Sweet Asian Sauce | Comments: We met with Frédérique Bérubé on 8/8/24 to discuss line extension ideas for the line of breaded boneless buffalo wings. They would like us to send them ideas on paper first and then they will narrow that list down and request samples to review. | Email: FrederiqueB@maxi.com; Marie-Êve Léveillé <marie-evel@maxi.com> | Phone: 450-439-2500 ext. 138,Hot Sauce,
Tomato Pouch Standard Size - Pizza,Mr. Gatti's,Products: Pizza | Sales Status: Green | Comments: Gatties has been with Escalon for years. Sold as new business for 2024 Pack,Tomato Pouch Standard Size,Green
Small Pouch (<16 oz) - Icing,Mr. Jim's,Products: Icing,Small Pouch (<16 oz),
International - Pizza Sauce,Papa Johns,Products: Pizza Sauce,International,
Medium Pouch - Buffalo Sauce,Papa Johns,Products: Buffalo Sauce,Medium Pouch,
Small Pouch (<16 oz) - Honey Chipotle,Papa Johns,Products: Honey Chipotle,Small Pouch (<16 oz),
"Zero Prep - Buffalo, HBBQ, Ranch",Papa Johns,"Products: Buffalo, HBBQ, Ranch | Comments: PJ may get ZP shown to them by GSF soon.",Zero Prep,
Retail and Jars,Perky's,Source tab: Retail and Jars,Retail and Jars,
Medium Pouch - Sweet Chili,Pizza Hut,Products: Sweet Chili | Comments: Target price $24.50/cs FOB,Medium Pouch,
Small Pouch (<16 oz) - Basil Pesto,Pizza Hut,Products: Basil Pesto,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Make Table Buffalo,Pizza Hut,Products: Make Table Buffalo,Small Pouch (<16 oz),
Zero Prep - Buffalo Concentrate; PHUT1067,Pizza Hut,Products: Buffalo Concentrate; PHUT1067 | Comments: We make today. This would work good if they keep on menu,Zero Prep,
Zero Prep - Sweet Chili,Pizza Hut,Products: Sweet Chili | Comments: Working to match,Zero Prep,
Tomato Pouch Standard Size - Pizza,Pizza Plus,Products: Pizza | Comments: 59 units - | Website: pizzaplusinc.com,Tomato Pouch Standard Size,
"Zero Prep - Marinara, Ranch, BBQ",QuickChek,"Products: Marinara, Ranch, BBQ | Comments: Paradise 32 oz customer",Zero Prep,
Medium Pouch - Red Salsa,Quik Trip,Products: Red Salsa,Medium Pouch,
Small Pouch (<16 oz) - Green Salsa,Quik Trip,Products: Green Salsa,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Red Salsa,Quik Trip,Products: Red Salsa,Small Pouch (<16 oz),
Bulk - Marinara,Red Gold,Products: Marinara | Sales Status: Red,Bulk,Red
Tomato Pouch Standard Size - Pizza (ASF),Sal's NZ,Products: Pizza (ASF) | Sales Status: Green | Comments: Sold 100%,Tomato Pouch Standard Size,Green
Hot Sauce - Cayenne Pepper Sauce,Sauer Brands,"Products: Cayenne Pepper Sauce | Comments: Sauer Brands makes mayo, dressings, sauces and dry blends. | Email: jstaiger@sauerbrands.com; njohnson@sauerbrands.com | Phone: (864) 288-3211 Ext. 422",Hot Sauce,
Hot Sauce - Hot Pepper Relish,Sauer Brands,"Products: Hot Pepper Relish | Comments: Sauer Brands makes mayo, dressings, sauces and dry blends. | Email: jstaiger@sauerbrands.com; njohnson@sauerbrands.com | Phone: (864) 288-3211 Ext. 422",Hot Sauce,
Hot Sauce - LA Pride Hot Sauce,Sauer Brands,"Products: LA Pride Hot Sauce | Comments: Sauer Brands is looking to move away from Pepper Source. They have asked us to match four products that they get from Pepper Source; West Creek HS, Hot Sauce (CAP tote), LA Pride HS, and LA Pride Wing Sauce. | Email: jstaiger@sauerbrands.com; njohnson@sauerbrands.com | Phone: (864) 288-3211 Ext. 422",Hot Sauce,
Hot Sauce - LA Pride Wing Sauce,Sauer Brands,"Products: LA Pride Wing Sauce | Comments: Sauer Brands is looking to move away from Pepper Source. They have asked us to match four products that they get from Pepper Source; West Creek HS, Hot Sauce (CAP tote), LA Pride HS, and LA Pride Wing Sauce. | Email: jstaiger@sauerbrands.com; njohnson@sauerbrands.com | Phone: (864) 288-3211 Ext. 422",Hot Sauce,
Hot Sauce - Monarch Hot Sauce (CAP Tote),Sauer Brands,"Products: Monarch Hot Sauce (CAP Tote) | Comments: Sauer Brands is looking to move away from Pepper Source. They have asked us to match four products that they get from Pepper Source; West Creek HS, Hot Sauce (CAP tote), LA Pride HS, and LA Pride Wing Sauce. | Email: jstaiger@sauerbrands.com; njohnson@sauerbrands.com | Phone: (864) 288-3211 Ext. 422",Hot Sauce,
Hot Sauce - West Creek Hot Sauce,Sauer Brands,"Products: West Creek Hot Sauce | Comments: Sauer Brands is looking to move away from Pepper Source. They have asked us to match four products that they get from Pepper Source; West Creek HS, Hot Sauce (CAP tote), LA Pride HS, and LA Pride Wing Sauce. | Email: jstaiger@sauerbrands.com; njohnson@sauerbrands.com | Phone: (864) 288-3211 Ext. 422",Hot Sauce,
Retail and Jars - Pizza/Other,Simple Simon's,Products: Pizza/Other,Retail and Jars,
Small Pouch (<16 oz) - Icing,Simple Simon's,Products: Icing,Small Pouch (<16 oz),
Medium Pouch - Avacado Ranch,Taco Bell,Products: Avacado Ranch,Medium Pouch,
Medium Pouch - Creamy Chipotle,Taco Bell,Products: Creamy Chipotle,Medium Pouch,
Medium Pouch - Creamy Jalapeno,Taco Bell,Products: Creamy Jalapeno,Medium Pouch,
Medium Pouch - Green Chili,Taco Bell,Products: Green Chili,Medium Pouch,
Medium Pouch - Spicy Ranch,Taco Bell,Products: Spicy Ranch,Medium Pouch,
Small Pouch (<16 oz) - Avocado Salsa,Taco Bell,Products: Avocado Salsa,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Diablo Sauce,Taco Bell,Products: Diablo Sauce,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Jalapeno Honey Mustard,Taco Bell,Products: Jalapeno Honey Mustard,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Pico de Gallo Dressing,Taco Bell,Products: Pico de Gallo Dressing | Sales Status: 1,Small Pouch (<16 oz),1
Small Pouch (<16 oz) - Taco Fire Sauce,Taco Bell,Products: Taco Fire Sauce,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Taco Hot Sauce,Taco Bell,Products: Taco Hot Sauce,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Taco Mild Sauce,Taco Bell,Products: Taco Mild Sauce,Small Pouch (<16 oz),
"Zero Prep - Avacado,green and red salsa",Taco Bell,"Products: Avacado,green and red salsa | Comments: Signed a 5 year (exclusive) purchase agreement with Golden State on 24oz pouches",Zero Prep,
Tomato Pouch Standard Size - Pizza (ASF),Thorntons,Products: Pizza (ASF) | Sales Status: Green | Comments: Owned by BP and sister companies with AM/PM | Email: ashley.chambers@bp.com peter.lygiros@bp.com | Phone: 847-454-5731 (Peter),Tomato Pouch Standard Size,Green
Zero Prep - All Sauces inc. Marinara,Tim Horton's,Products: All Sauces inc. Marinara,Zero Prep,
Bulk - Pizza,Ventura,Products: Pizza | Sales Status: Red,Bulk,Red
Small Pouch (<16 oz) - Ken's Italian,Wawa,Products: Ken's Italian,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Ken's Ranch,Wawa,Products: Ken's Ranch,Small Pouch (<16 oz),
Small Pouch (<16 oz) - Spicy Marinara,Wawa,Products: Spicy Marinara,Small Pouch (<16 oz),
"Zero Prep - Ranch, BBQ,",Wawa,"Products: Ranch, BBQ,",Zero Prep,
